,city_name,country,cloudiness,humidity,lat,lng,temperature,max_temp,wind speed,date
278,rikitea,pf,12.0,100.0,-23.12,-134.97,74.7,74.7,20.49,1554322858
279,chokurdakh,ru,0.0,55.0,70.62,147.9,-0.64,-0.64,2.93,1554322871
280,butaritari,ki,92.0,100.0,3.07,172.79,77.67,77.67,1.59,1554322828
281,meulaboh,id,24.0,100.0,4.14,96.13,78.93,78.93,4.16,1554322908
282,bluff,nz,92.0,93.0,-46.6,168.33,48.0,48.0,1.01,1554322807
283,punta arenas,cl,40.0,52.0,-53.16,-70.91,45.03,46.4,31.09,1554322348
284,ust-kuyga,ru,0.0,59.0,70.0,135.55,1.35,1.35,4.05,1554322908
285,clinton,us,40.0,41.0,41.84,-90.19,56.62,59.0,14.99,1554322799
286,bambous virieux,mu,75.0,88.0,-20.34,57.76,77.74,78.8,3.36,1554322743
287,tasiilaq,gl,0.0,92.0,65.61,-37.64,30.2,30.2,19.46,1554321000
288,punta arenas,cl,40.0,52.0,-53.16,-70.91,45.03,46.4,31.09,1554322348
289,upernavik,gl,80.0,88.0,72.79,-56.15,25.38,25.38,42.97,1554322720
290,lapy,pl,0.0,35.0,52.99,22.88,42.3,45.0,18.81,1554322824
292,hambantota,lk,0.0,100.0,6.12,81.12,80.19,80.19,3.6,1554322910
293,bjornevatn,no,40.0,69.0,69.67,29.98,34.63,35.6,26.4,1554321000
294,narsaq,gl,20.0,54.0,60.91,-46.05,30.2,30.2,16.11,1554321000
295,vaini,to,40.0,78.0,-21.2,-175.2,78.8,78.8,8.05,1554321600
296,carnarvon,au,90.0,78.0,-24.87,113.63,75.2,75.2,19.46,1554318000
297,pisco,pe,0.0,30.0,-13.71,-76.2,71.6,71.6,16.11,1554318000
298,busselton,au,56.0,50.0,-33.64,115.35,63.66,64.0,18.59,1554322584
299,lagoa,pt,0.0,51.0,37.14,-8.45,56.25,59.0,11.41,1554322639
300,atuona,pf,48.0,100.0,-9.8,-139.03,81.63,81.63,15.35,1554322711
301,soyo,ao,24.0,87.0,-6.13,12.37,82.26,82.26,5.84,1554322885
303,arraial do cabo,br,0.0,65.0,-22.97,-42.02,82.4,82.4,13.87,1554318000
304,la palma,pa,48.0,71.0,8.4,-78.14,84.15,84.15,10.31,1554322913
306,cidreira,br,36.0,86.0,-30.17,-50.22,77.04,77.04,1.81,1554322913
307,qandala,so,0.0,83.0,11.47,49.87,69.48,69.48,2.71,1554322629
308,new norfolk,au,40.0,80.0,-42.78,147.06,41.0,42.01,10.29,1554322815
310,thika,ke,75.0,56.0,-1.04,37.08,69.64,73.4,19.46,1554322632
311,wanning,cn,92.0,100.0,18.8,110.4,73.8,73.8,5.5,1554322914
312,chokurdakh,ru,0.0,55.0,70.62,147.9,-0.64,-0.64,2.93,1554322871
313,marawi,sd,0.0,34.0,18.48,31.82,63.18,63.18,2.71,1554322628
314,vila velha,br,75.0,74.0,-3.71,-38.6,81.0,82.4,8.05,1554322086
315,cape town,za,0.0,88.0,-33.93,18.42,61.5,64.99,3.36,1554322879
317,lubben,de,0.0,58.0,51.95,13.9,56.62,60.01,9.17,1554322807
318,lebu,cl,100.0,95.0,-37.62,-73.65,56.34,56.34,15.68,1554322852
319,port hardy,ca,90.0,87.0,50.7,-127.42,50.0,50.0,3.36,1554318000
320,jamestown,sh,92.0,100.0,-15.94,-5.72,76.77,76.77,18.92,1554322868
321,okha,ru,88.0,91.0,53.59,142.95,29.88,29.88,17.47,1554322916
322,sapucaia,br,0.0,67.0,-21.99,-42.91,74.16,74.16,1.7,1554322916
323,ushuaia,ar,75.0,70.0,-54.81,-68.31,44.6,44.6,27.51,1554318000
324,ponta do sol,cv,40.0,49.0,17.2,-25.09,73.4,73.4,23.04,1554318000
325,butaritari,ki,92.0,100.0,3.07,172.79,77.67,77.67,1.59,1554322828
326,tuktoyaktuk,ca,75.0,77.0,69.44,-133.03,-2.21,-2.21,18.34,1554318000
328,bambous virieux,mu,75.0,88.0,-20.34,57.76,77.74,78.8,3.36,1554322743
329,hobart,au,40.0,80.0,-42.88,147.33,41.0,42.01,10.29,1554322635
330,upernavik,gl,80.0,88.0,72.79,-56.15,25.38,25.38,42.97,1554322720
331,richards bay,za,8.0,87.0,-28.77,32.06,70.92,70.92,12.1,1554322918
332,bethel,us,1.0,74.0,60.79,-161.76,34.99,37.4,19.46,1554321360
333,iqaluit,ca,75.0,71.0,63.75,-68.52,8.33,8.6,4.7,1554322323
334,hobyo,so,24.0,83.0,5.35,48.53,81.0,81.0,7.4,1554322918
